"TI";"AU";"AB";"TC";"UT";"PY";"topic";"p";"n"
"Direct CO2 capture from ambient air using K2CO3/Y2O3 composite sorbent";"Derevschikov, VS
   Veselovskaya, JV
   Kardash, TY
   Trubitsyn, DA
   Okunev, AG";"Carbonate-bicarbonate looping was tested for direct CO2 capture from air using a composite sorbent K2CO3/Y2O3. The phase composition, the porous structure and the texture of the composite sorbent were characterized by means of X-ray diffraction, mercury intrusion and scanning electron microscopy methods. The thermal properties of the sorbent were additionally studied by X-ray diffraction in situ and thermogravimetry methods. CO2 absorption from air and desorption experiments were performed in a continuous-flow system. The effect of regeneration temperature on CO2 uptake was investigated. It was shown that CO2 absorption uptake from air is about 28 mg (CO2)/g in temperature swing absorption cycles within regeneration temperature range of 150-250 degrees C. However, the increase of the regeneration temperature up to 300 degrees C results in gradual decrease of the absorption uptake down to 10 mg (CO2)/g. The XRD pattern of the cycled sample contains a set of reflections that cannot be assigned to any known potassium-or yttrium-containing crystalline phase. The new phase, which is thermally stable up to 460 degrees C, accumulates potassium ions and is, probably, responsible for the sorbent capacity decay. (C) 2013 Elsevier Ltd. All rights reserved.";"9";"WOS:000333979300025";2014;"captur, air, adsorpt, materi, adsorb";0.940951098294637;196
"Effect of iron enrichment on the dynamics of transparent exopolymer
   particles in the western subarctic Pacific";"Ramaiah, N
   Takeda, S
   Furuya, K
   Yoshimura, T
   Nishioka, J
   Aono, T
   Nojiri, Y
   Imai, K
   Kudo, I
   Saito, H
   Tsuda, A";"Dynamics of transparent exopolymer particles (TEP) was studied during the first in situ iron-enrichment experiment conducted in the western subarctic Pacific in July-August 2001, with the goal of evaluating the contribution of TEP to vertical flux as a result of increased primary production following iron enrichment in open ocean ecosystems. Subsequent to the enhancement of phytoplankton production, we observed increase in TEP concentration in the surface layer and sedimentation of organic matter beneath it. Vertical profiles of TEP, chlorophyll a (Chl a) and particulate organic carbon (POC) were obtained from six depths between 5 and 70 m, from a station each located inside and outside the enriched patch. TEP and total mass flux were estimated from the floating sediment traps deployed at 200 m depth. Chl a and TEP concentrations outside the patch varied from 0.2 to 1.9 &mu; g L-1 and 40-60 &mu; g XG equiv. L-1, respectively. Inside the patch, Chl a increased drastically from day 7 reaching the peak of 19.2 &mu; g L-1 on day 13, which coincided with the TEP peak of 189 &mu; g XG equiv. L-1. TEP flux in the sediment trap increased from 41 to 88 mg XG equiv. m(-2) d(-1), with 8-14% contribution of TEP to total mass flux. This forms the basic data set on ambient concentrations of TEP in the western subarctic Pacific, and evaluation of the effect of iron enrichment on TEP. &COPY; 2005 Elsevier Ltd. All rights reserved.";"2";"WOS:000229562400011";2005;"ocean, iron, weather, releas, day";0.940950281319797;141
"The ocean response to volcanic iron fertilisation after the eruption of
   Kasatochi volcano: a regional-scale biogeochemical ocean model study";"Lindenthal, A
   Langmann, B
   Patsch, J
   Lorkowski, I
   Hort, M";"In high-nutrient-low-chlorophyll regions, phytoplankton growth is limited by the availability of water-soluble iron. The eruption of Kasatochi volcano in August 2008 led to ash deposition into the iron-limited NE Pacific Ocean. Volcanic ash released iron upon contact with seawater and generated a massive phytoplankton bloom. Here we investigate this event with a one-dimensional ocean biogeochemical column model to illuminate the ocean response to iron fertilisation by volcanic ash. The results indicate that the added iron triggered a phytoplankton bloom in the summer of 2008. Associated with this bloom, macronutrient concentrations such as nitrate and silicate decline and zooplankton biomass is enhanced in the ocean mixed layer. The simulated development of the drawdown of carbon dioxide and increase of pH in surface seawater is in good agreement with available observations. Sensitivity studies with different supply dates of iron to the ocean emphasise the favourable oceanic conditions in the NE Pacific to generate massive phytoplankton blooms in particular during July and August in comparison to other months. By varying the amount of volcanic ash and associated bio-available iron supplied to the ocean, model results demonstrate that the NE Pacific Ocean has higher, but limited capabilities to consume CO2 after iron fertilisation than those observed after the volcanic eruption of Kasatochi.";"6";"WOS:000321122700019";2013;"ocean, iron, weather, releas, day";0.940949561390426;141
"Separation of CO2 from air by temperature-vacuum swing adsorption using
   diamine-functionalized silica gel";"Wurzbacher, JA
   Gebald, C
   Steinfeld, A";"A temperature-vacuum swing (TVS) process, capable of extracting pure CO2 from dry and humid atmospheric air, is experimentally analyzed. Adsorption/desorption cycles utilizing a packed bed of a sorbent material made of diamine-functionalized commercial silica gel are performed under equilibrium and non-equilibrium (short-cycle) conditions. Thereby, the CO2 capture capacity of the material is determined over a wide range of operational parameters, namely 10-150 mbar(abs) desorption pressure, 74-90 degrees C desorption temperature, and 0-80% relative humidity during adsorption. Up to 158 ml of CO2 (6.8 ml per gram sorbent) with a purity of up to 97.6% is recovered per cycle. Adsorption isotherms of the sorbent material are experimentally determined by thermogravimetry and fitted to isotherm models, which are successfully applied to predict desorption capacities achieved in the TVS process. Under dry conditions, desorption pressures above 100 mbar(abs) lead to strongly decreasing CO2 capture capacities below 0.03 mmol g(-1). Under humid conditions with 40% relative humidity during adsorption, the desorption pressure can be raised to 150 mbar(abs) with capture capacities remaining above 0.2 mmol g(-1). Stable performance of the sorbent material in the TVS process is demonstrated over 40 consecutive adsorption/desorption cycles.";"64";"WOS:000294306900055";2011;"captur, air, adsorpt, materi, adsorb";0.940949208716353;196
"Dynamic capture of low-concentration CO2 on amine hybrid silsesquioxane
   aerogel";"Kong, Y
   Shen, XD
   Fan, MH
   Yang, M
   Cui, S";"Amine hybrid silsesquioxane aerogel (AHSA) was synthesized through a single-step sol-gel process followed by supercritical drying. CO2 adsorption performances of highly porous AHSA in 1% CO2 were investigated. 50 degrees C is preferred to perform the CO2 capture of AHSA to achieve a CO2 adsorption capacity of 3.04 mmol/g (dry) or 3.84 mmol/g (humid) under given conditions. A rise in adsorption gas flow rate from 300 to 700 ml/min results in the decrease of CO2 adsorption capacity from 3.04 to 2.42 mmol/g. The CO2 adsorption rate is mainly affected by the gas flow rate, while the effect of temperature can be ignored. Different with the adsorption performance, the CO2 desorption kinetics of AHSA is mainly affected by the temperature, the effect of gas flow rate is indifferent. Water favors the CO2 capture capability of AHSA, however, it is bad for the CO2 adsorption and desorption kinetics. The CO2 adsorption capacities of AHSA in 1% CO2 are much higher than those of other amine based porous adsorbents obtained with a 1% or even higher CO2 gas mixture. Also, AHSA has very short adsorption half time (22-55 s) and low desorption temperature of 80 degrees C, much lower than those of other amine-based adsorbents. The resulting adsorbent is dynamic and possesses excellent regenerability for low-concentration CO2 capture. (C) 2015 Elsevier B.V. All rights reserved.";"5";"WOS:000364247100109";2016;"captur, air, adsorpt, materi, adsorb";0.938981343497644;196
"Production and air-sea flux of halomethanes in the western subarctic
   Pacific in relation to phytoplankton pigment concentrations during the
   iron fertilization experiment (SEEDS II)";"Hashimoto, S
   Toda, S
   Suzuki, K
   Kato, S
   Narita, Y
   Kurihara, MK
   Akatsuka, Y
   Oda, H
   Nagai, T
   Nagao, I
   Kudo, I
   Uematsu, M";"Iron could play a key role in controlling phytoplankton biomass and productivity in high-nutrient, low-chlorophyll regions. As a part of the iron fertilization experiment carried out in the western subarctic Pacific from July to August 2004 (Subarctic Pacific iron Experiment for Ecosystem Dynamics Study II-SEEDS II), we analysed the concentrations of trace gases in the seawater for 12 d following iron fertilization. The mean concentrations of chlorophyll a in the mixed layer (5-30m depth) increased from 0.94 to 2.81 mu g L(-1) for 8 d in the iron patch. The mean concentrations of methyl bromide (CH(3)Br; 5-30 in depth) increased from 6.4 to 13.4 pmol L(-1) for 11 d; the in-patch concentration increased relative to the out-patch concentration. A linear correlation was observed between the concentrations of 19'-hexanoyloxyfucoxanthin, which is a biomarker of several prymnesiophytes, and CH(3)Br in the seawater. After fertilization, the air-sea flux of CH(3)Br inside the patch changed from influx to efflux from the ocean. There was no clear evidence for the increase in saturation anomaly of methyl chloride (CH(3)Cl) due to iron fertilization. Furthermore, CH(3)Cl fluxes did not show a tendency to increase after fertilization of the patch. In contrast to CH(3)Br, no change was observed in the concentrations of bromoform (in-patch day 11 and out-patch day 11: 1.7 and 1.7 pmol L(-1)), dibromomethane (2.1 and 2.2 pmol L(-1)), and dibromochloromethane (1.0 and 1.2 pmol L(-1), respectively). The concentration of isoprene, which is known to have a relationship with chlorophyll a, did not change in this study. The responses of trace gases during SEEDS II differed from the previous findings (in situ iron enrichment experiment-EisenEx, Southern Ocean iron experiment-SOFeX, and Subarctic Ecosystem Response to Iron Enrichment Study-SERIES). Thus, in order to estimate the concomitant effect of iron fertilization on the climate, it is important to assess the induction of biological activity and the distributions/air-sea fluxes of trace gases by iron addition. (C) 2009 Published by Elsevier Ltd.";"6";"WOS:000273147300018";2009;"ocean, iron, weather, releas, day";0.936869919657631;141
"An in situ iron-enrichment experiment in the western subarctic Pacific
   (SEEDS): Introduction and summary";"Takeda, S
   Tsuda, A";"To test the iron hypothesis in the subarctic Pacific Ocean, an in situ iron-enrichment experiment (SEEDS) was performed in the western subarctic gyre in July-August 2001. About 350 kg of iron (as acidic iron sulfate) and 0.48 mol of the inert chemical tracer sulfur hexafluoride were introduced into a 10-m deep surface mixed layer over an 80 km(2) area. This single iron infusion raised dissolved iron levels to &SIM; 2.9 nM initially. Dissolved iron concentrations rapidly decreased after the infusion, but levels remained close to 0.15 nM even at the end of the 14-day experimental period. During SEEDS there were iron-mediated increases in chlorophyll a concentrations (up to 20 &mu; g l(-1)), primary production rates, biomass and photosynthetic energy conversion efficiency relative to waters outside the iron-enriched patch. The rapid and very high accumulation of phytoplankton biomass in response to the iron addition appeared to be partly attributable to shallow mixed-layer depth and moderate water temperature in the western subarctic Pacific. However, the main reason was a floristic shift to fast-growing centric diatom Chaetoceros debilis, unlike the previous iron-enrichment experiments in the equatorial Pacific and the Southern Ocean, in both of which iron stimulated the growth of pennate diatoms. The iron-mediated blooming of diatoms resulted in a marked consumption of macronutrients and drawdown of pCO(2). Biological and physiological measurements indicate that phytoplankton growth in the patch became both light- and iron-limited, making phytoplankton biomass relatively constant after day 9. The increase in microzooplankton grazing rate after day 9 also influenced the net growth rate of phytoplankton. There was no significant increase in the export flux of carbon to depth during the 14-day occupation of the experimental site. The export flux between day 4 and day 13 was estimated to be only 13% of the integrated primary production in the iron-enriched patch. The major part of the carbon fixed by the diatom bloom remained in the surface mixed layer as biogenic particulate matter. Our findings support the hypothesis that iron limits phytoplankton growth and biomass in a 'bottom up' manner in this area, but the fate of algal carbon remains unknown. &COPY; 2005 Elsevier Ltd. All rights reserved.";"28";"WOS:000229562400002";2005;"ocean, iron, weather, releas, day";0.933802382010574;141
"Southern Ocean iron enrichment promotes inorganic carbon drawdown";"Bakker, DCE
   Watson, AJ
   Law, CS";"The effect of iron supply on phytoplankton growth and the marine carbon cycle was tested in situ at 61 degreesS 141 degreesE in the Southern Ocean Iron Release Experiment (SOIREE). On 9 February 1999 iron and the tracer sulphur hexafluoride (SF6) were added to the mixed layer with additional iron infusions after 3, 5 and 7 days. A small decrease of the fugacity of carbon dioxide (fCO(2)) and dissolved inorganic carbon (DIC) by iron-induced algal growth was observed 4-5 days after the first infusion. From then onwards fCO(2) and DIC steadily decreased, and the iron-enriched waters became a sink for atmospheric CO2. The region with surface-water fCO(2) drawdown closely matched the shape of the patch, as indicated by SF6. Surface-water fCO(2) and DIC drawdown were relatively constant across the patch, whereas SF6 decreased from the patch centre outwards. This pointed to uniform algal carbon uptake, not limited by iron, in the patch. After 13 days surface-water fCO(2) and DIC in the patch centre had decreased by 32-38 mu atm and 15-18 mu mol kg(-1), respectively. Surface-water fCO(2) outside the patch had increased by 8 mu atm, partly as a result of surface-water warming. The iron-induced fCO(2) change exceeded seasonal fCO(2) variability in this region by a factor of two. From the surface-water fCO(2) distribution we estimate a net DIC drawdown of 1353 t of carbon (+/- 14%) (1 t = 10(6) g) across the patch after 12 days, assuming uniform drawdown in the upper 50 m. Correction for vertical diffusion and air-sea exchange results in a gross DIC drawdown of 1408 t of carbon. The decrease of fCO(2) and DIG, integrated over the mixed layer, was remarkably similar in size after 13 days of SOIREE as changes observed after 6-9 days during IronEx II, if we consider the 4-5 days lag in algal carbon uptake at the Southern Ocean site. SOIREE has demonstrated in situ the occurrence of algal iron limitation and of iron-induced carbon uptake in these Southern Ocean waters. The subsequent fate of the fixed inorganic carbon can only be speculated upon. (C) 2001 Elsevier Science Ltd. All rights reserved.";"50";"WOS:000169483400004";2001;"ocean, iron, weather, releas, day";0.932170613817514;141
"Iron-mediated changes in phytoplankton photosynthetic competence during
   SOIREE";"Boyd, PW
   Abraham, ER";"Active fluorescence (fast repetition rate fluorometry, FRRF) was used to follow the photosynthetic response of the phytoplankton community during the 13-day Southern Ocean Iron RElease Experiment (SOIREE). This in situ iron enrichment was conducted in the polar waters of the Australasian-Pacific sector of the Southern Ocean in February 1999. Iron fertilisation of these high nitrate low chlorophyll (HNLC) waters resulted in an increase in the photosynthetic competence (F-v/F-m,) of the resident cells from around 0.20 to greater than 0.60 (i.e. close to the theoretical maximum) by 10/11 days after the first enrichment. Although a significant iron-mediated response in F-v/F-m was detected as early as 24h after the initial fertilisation, the increase in F-v/F-m to double ambient levels took 6 days, This response was five-fold slower than observed in iron enrichments tin situ and in vitro) in the HNLC waters of the subarctic and equatorial Pacific, Although little is known about the relationship between water temperature and F-v/F-m, it is likely that low water temperatures - and possibly the deep mixed layer - were responsible for this slow response time, During SOIREE, the photosynthetic competence of the resident phytoplankton in iron-enriched waters increased at dissolved iron levels above 0.2 nM, suggesting that iron limitation was alleviated at this concentration, Increases in F-v/F-m of cells within four algal size classes suggested that all taxa displayed a photosynthetic response to iron enrichment. Other physiological proxies of algal iron stress (such as flavodoxin levels in diatoms) exhibited different temporal trends to iron-enrichment than F-v/F-m during the time-course of SOIREE, The relationship between F-v/F-m, algal growth rate and such proxies in Southern Ocean waters is discussed. (C) 2001 Elsevier Science Ltd. All rights reserved.";"106";"WOS:000169483400006";2001;"ocean, iron, weather, releas, day";0.927039600099813;141
"Oceanic iron fertilization: one of strategies for sequestration
   atmospheric CO2";"Song, JM";"Carbon cycle is connected with the most important environmental issue of Global Change. As one of the major carbon reservoirs, oceans play an important part in the carbon cycle. In recent years, iron seems to give us a good news that oceanic iron fertilization could stimulate biological productivity as CO2 sink of human-produced CO2. Oceanic iron fertilization experiments have verified that adding iron into high nutrient low chlorophyll (HNLC) seawaters can increase phytoplankton production and export organic carbon, and hence increase carbon sink of anthropogenic CO2, to reduce global warming. In sixty days, the export organic carbon could reach 10 000 times for adding iron by model prediction and in situ experiment, i.e. the atmospheric CO2 uptake and inorganic carbon drawdown in upper seawaters also have the same magnitude. Therefore, oceanic iron fertilization is one of the strategies for increasing carbon sink of anthropogenic CO2. The paper is focused on the iron fertilization, especially in situ ocean iron experiments in order that the future research is more efficient.";"10";"WOS:000184694100006";2003;"ocean, iron, weather, releas, day";0.92368060466886;141
"The effects of iron fertilization on carbon sequestration in the
   Southern Ocean";"Buesseler, KO
   Andrews, JE
   Pike, SM
   Charette, MA";"An unresolved issue in ocean and climate sciences is whether changes to the surface ocean input of the micronutrient iron can alter the flux of carbon to the deep ocean. During the Southern Ocean Iron Experiment, we measured an increase in the flux of particulate carbon from the surface mixed layer, as well as changes in particle cycling below the iron-fertilized patch. The flux of carbon was similar in magnitude to that of natural blooms in the Southern Ocean and thus small relative to global carbon budgets and proposed geoengineering plans to sequester atmospheric carbon dioxide in the deep sea.";"150";"WOS:000220845400040";2004;"ocean, iron, weather, releas, day";0.923678652790927;141
"Photosynthetic maximum quantum yield increases are an essential
   component of the Southern Ocean phytoplankton response to iron";"Hiscock, MR
   Lance, VP
   Apprill, AM
   Bidigare, RR
   Johnson, ZI
   Mitchell, BG
   Smith, WO
   Barber, RT";"It is well established that an increase in iron supply causes an increase in total oceanic primary production in many regions, but the physiological mechanism driving the observed increases has not been clearly identified. The Southern Ocean iron enrichment experiment, an iron fertilization experiment in the waters closest to Antarctica, resulted in a 9-fold increase in chlorophyll (Chl) concentration and a 5-fold increase in integrated primary production. Upon iron addition, the maximum quantum yield of photosynthesis (phi(m)) rapidly doubled, from 0.011 to 0.025 mol C.mol quanta(-1). Paradoxically, this increase in light-limited productivity was not accompanied by a significant increase in light-saturated productivity (P-max(b)). P-max(b) maximum Chl normalized productivity, was 1.34 mg C.mg Chl(-1).h(-1) outside and 1.49 mg C.mg Chl(-1)-h(-1) inside the iron-enriched patch. The importance of phi(m) as compared with P-max(b) in controlling the biological response to iron addition has vast implications for understanding the ecological response to iron. We show that an iron-driven increase in phi(m) is the proximate physiological mechanism affected by iron addition and can account for most of the increases in primary production. The relative importance of phi(m) over P-max(b) in this iron-fertilized bloom highlights the limitations of often-used primary productivity algorithms that are driven by estimates of P-max(b) but largely ignore variability in phi(m) and light-limited productivity. To use primary productivity models that include variability in iron supply in prediction or forecasting, the variability of light-limited productivity must be resolved.";"30";"WOS:000254772700044";2008;"ocean, iron, weather, releas, day";0.916718149992811;141
"SOC storage and potential of grasslands from 2000 to 2012 in central and
   eastern Inner Mongolia, China";"Tian, Z
   Wu, XQ
   Dai, EF
   Zhao, DS";"Grassland ecosystem is an important component of the terrestrial carbon cycle system. Clear comprehension of soil organic carbon (SOC) storage and potential of grasslands is very important for the effective management of grassland ecosystems. Grasslands in Inner Mongolia have undergone evident impacts from human activities and natural factors in recent decades. To explore the changes of carbon sequestration capacity of grasslands from 2000 to 2012, we carried out studies on the estimation of SOC storage and potential of grasslands in central and eastern Inner Mongolia, China based on field investigations and MODIS image data. First, we calculated vegetation cover using the dimidiate pixel model based on MODIS-EVI images. Following field investigations of aboveground biomass and plant height, we used a grassland quality evaluation model to get the grassland evaluation index, which is typically used to represent grassland quality. Second, a correlation regression model was established between grassland evaluation index and SOC density. Finally, by this regression model, we calculated the SOC storage and potential of the studied grasslands. Results indicated that SOC storage increased with fluctuations in the study area, and the annual changes varied among different sub-regions. The SOC storage of grasslands in 2012 increased by 0.51x10(12) kg C compared to that in 2000. The average carbon sequestration rate was 0.04x10(12) kg C/a. The slope of the values of SOC storage showed that SOC storage exhibited an overall increase since 2000, particularly for the grasslands of Hulun Buir city and Xilin Gol League, where the typical grassland type was mainly distributed. Taking the SOC storage under the best grassland quality between 2000 and 2012 as a reference, this study predicted that the SOC potential of grasslands in central and eastern Inner Mongolia in 2012 is 1.38x10(12) kg C. This study will contribute to researches on related methods and fundamental database, as well as provide a reference for the protection of grassland ecosystems and the formulation of local policies on sustainable grassland development.";"0";"WOS:000373138300005";2016;"soc, grassland, stock, cropland, china";0.911369630745549;257
